City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,San Miguel de Cozumel,20.5083,-86.9458,30.04,75,40,5.14,MX,1683414220
202,Jianshui,23.6363,102.8264,20.58,58,1,1.46,CN,1683414220
203,Knyaze-Volkonskoye,48.4642,135.4567,9.19,57,50,2.8,RU,1683414220
204,Ambalangoda,6.2355,80.0538,26.8,85,100,6.11,LK,1683414220
205,Río Gallegos,-51.6226,-69.2181,7.03,53,0,5.66,AR,1683414089
206,Chibougamau,49.9168,-74.3659,17.79,27,40,5.66,CA,1683414142
207,Pisco,-13.7,-76.2167,22.03,78,100,5.66,PE,1683414209
208,Caucayá,-0.1934,-74.7819,23.69,95,62,0.47,CO,1683414220
209,Nema,57.5067,50.5011,-0.39,85,4,3.67,RU,1683414220
210,Zarghūn Shahr,32.8473,68.4457,10.02,31,0,3.91,AF,1683414220
211,Vila Franca do Campo,37.7167,-25.4333,18.23,94,96,5.17,PT,1683414215
212,Mugia,43.1041,-9.2179,14.95,93,100,2.18,ES,1683414221
213,Port Mathurin,-19.6833,63.4167,25.97,72,70,8.41,MU,1683414071
214,Egersund,58.4513,5.9997,9.49,66,25,7.02,NO,1683414221
215,Luganville,-15.5333,167.1667,28.52,71,49,2.71,VU,1683414221
216,Tuburan,6.6439,122.2736,26.05,80,92,2.64,PH,1683414221
217,Ternitz,47.7156,16.0357,13.73,90,99,1.76,AT,1683414221
218,Indore,22.7179,75.8333,24.1,69,75,1.54,IN,1683414221
219,Ishigaki,24.3448,124.1572,26.07,94,100,6.69,JP,1683414221
220,Derazhnya,49.2692,27.4338,6.7,60,100,6.66,UA,1683414221
221,Kristiansund,63.1115,7.732,7.36,53,100,2.57,NO,1683414221
222,Tongouson,5.0214,120.1328,28.5,74,90,1.36,PH,1683414222
223,Contamana,-7.3333,-75.0167,23.64,97,72,1.56,PE,1683414222
224,Bilohirsk,45.05,34.6,12.49,85,100,5.43,UA,1683414222
225,Gypsum,39.6469,-106.9517,15.75,23,100,3.09,US,1683414222
226,Kisangani,0.5167,25.2,21.6,97,90,0.74,CD,1683414222
227,Saipan,15.1355,145.701,28.69,100,100,5.81,MP,1683414222
228,Grudki,53.0949,23.6685,8.47,56,100,4.68,PL,1683414222
229,Maxixe,-23.8597,35.3472,20.96,84,0,2.28,MZ,1683414222
230,Mizdah,31.4451,12.9801,20.71,29,5,2.71,LY,1683414223
231,Murghab,38.1702,73.9667,-5.46,63,29,1.63,TJ,1683414223
232,Middlebury (village),44.0153,-73.1673,19.05,32,0,2.57,US,1683414223
233,San Juan de Miraflores,-12.1629,-76.9635,22.29,81,45,2.81,PE,1683414223
234,Mandan,46.8267,-100.8896,12.43,92,100,5.66,US,1683414223
235,Nampula,-15.1165,39.2666,16.57,97,40,1.31,MZ,1683414223
236,Eydhafushi,5.1033,73.0708,29.13,74,100,7.99,MV,1683414223
237,Fort St. John,56.2499,-120.8529,20.94,19,40,10.29,CA,1683414223
238,Bandarbeyla,9.4942,50.8122,29.12,73,45,5.61,SO,1683414223
239,Alofi,-19.0595,-169.9187,26.94,83,99,1.54,NU,1683414223
240,Cabo San Lucas,22.8909,-109.9124,27.56,67,82,0.45,MX,1683413931
241,Avarua,-21.2078,-159.775,28.03,89,75,2.06,CK,1683414211
242,Chokwé,-24.5333,32.9833,20.45,68,3,2.74,MZ,1683414224
243,Papao,-17.75,-149.55,29.82,79,68,8.02,PF,1683414224
244,Haiku-Pauwela,20.9219,-156.3051,25.65,66,93,8.05,US,1683414224
245,Okhotsk,59.3833,143.3,4.05,71,14,1.33,RU,1683414224
246,Rongelap,11.1635,166.8941,27.43,76,95,7.85,MH,1683414224
247,Rémire-Montjoly,4.9167,-52.2667,27.02,89,75,1.03,GF,1683413985
248,Barabinsk,55.3571,78.357,13.15,34,12,1.49,RU,1683414123
249,Kiffa,16.6166,-11.4045,34.4,10,24,5.25,MR,1683414140
250,Mendoza,-32.8908,-68.8272,16.74,55,0,0.0,AR,1683414012
251,Tiruvannamalai,12.2167,79.0667,24.64,86,100,2.89,IN,1683414034
252,Lapua,62.9693,23.0088,-0.92,69,88,1.86,FI,1683414225
253,Thurso,58.5927,-3.5259,8.25,95,100,9.84,GB,1683414225
254,Ta`ū,-14.2336,-169.5144,27.8,75,10,4.46,AS,1683414217
255,Ristiina,61.5058,27.2464,-0.94,78,33,1.85,FI,1683414225
256,Acaraú,-2.8856,-40.12,26.02,84,13,5.13,BR,1683414209
257,Newman,37.3138,-121.0208,20.59,69,99,5.81,US,1683414211
258,Lebowakgomo,-24.2,29.5,15.5,57,30,2.46,ZA,1683414225
259,Ulsteinvik,62.3432,5.8487,10.17,45,68,2.24,NO,1683414225
260,Lompoc,34.6391,-120.4579,21.68,69,20,7.6,US,1683414214
261,Bath,51.3779,-2.3591,13.27,94,97,2.09,GB,1683414013
262,Tuba City,36.135,-111.2399,20.6,14,41,11.21,US,1683414225
263,Fortaleza,-3.7227,-38.5247,28.45,83,20,3.6,BR,1683414225
264,Pierre,44.3683,-100.351,16.59,70,0,6.17,US,1683414225
265,Kenai,60.5544,-151.2583,7.05,65,75,1.54,US,1683414005
266,Serhiyivka,46.0272,30.3768,11.39,69,9,8.2,UA,1683414226
267,East London,-33.0153,27.9116,18.3,77,77,5.22,ZA,1683414226
268,Qacha's Nek,-30.1154,28.6894,10.32,83,91,1.96,LS,1683414226
269,Freetown,8.484,-13.2299,26.68,87,64,4.01,SL,1683414226
270,At Tāj,24.2049,23.2857,18.36,35,0,4.26,LY,1683414226
271,Caleta de Carquín,-11.0925,-77.6267,23.22,78,14,4.8,PE,1683414222
272,Mahina,-17.5065,-149.489,29.87,66,75,2.57,PF,1683414226
273,Polyarny,69.1989,33.4478,-3.86,94,30,2.31,RU,1683414226
274,Najrān,17.4924,44.1277,26.36,30,100,1.56,SA,1683414224
275,Quepos,9.4236,-84.1652,29.45,70,100,1.17,CR,1683414226
276,Mar del Plata,-38.0023,-57.5575,17.83,98,100,6.17,AR,1683414226
277,Kavaratti,10.5669,72.642,28.45,68,99,4.32,IN,1683414227
278,Palmer,42.1584,-72.3287,22.23,31,0,5.14,US,1683414227
279,Rabaul,-4.1967,152.1721,28.86,73,70,3.96,PG,1683414227
280,Três Lagoas,-20.7511,-51.6783,25.01,67,81,2.68,BR,1683414066
281,Tari,12.4086,4.4914,31.68,42,52,3.1,NG,1683414227
282,Ribeira Brava,32.65,-17.0667,21.35,77,19,2.1,PT,1683414227
283,Huayin,34.5675,110.0921,12.08,91,100,1.81,CN,1683414227
284,Sungai Raya,0.7,108.9,25.82,91,100,2.44,ID,1683414227
